"subject","method","mean","sd"
"butler","computer",0.00715817496461576,0.00410692837682604
"effie","computer",0.0111459655012048,0.00568826088907293
"harris","computer",0.00653777671545624,0.00390757469691798
"lee","computer",0.00715218676250824,0.00433052240117027
"mhango","computer",0.00525411712191781,0.00338117477555272
"neil","computer",0.00776282863563182,0.00489736149116631
"person1","computer",0.00947241343432569,0.00534183201918403
"person2","computer",0.00860360157777854,0.00531764659528343
"potter","computer",0.00664256682838059,0.00401761546132549
"wager","computer",0.00604251640974908,0.00389139214680689
"butler","live",0.00719223354961505,0.00436083704237717
"harris","live",0.00703491219912344,0.00405730830568423
"wager","live",0.00750796779707907,0.0044472007295608
