               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11821,             0.19356,                   0,           0.0013953,           0.0082645,          0.00017359,          5.2077e-05,             0.12388,             0.18698,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11339,             0.18539,                   0,               0.001,            0.024793,          0.00051263,          0.00010254,             0.11984,             0.17897,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10737,             0.19474,                   0,            0.001737,           0.0082645,          0.00069655,          0.00013865,             0.11181,             0.19496,                   0,           0.0016327,           0.0016327,            0.084633
                   3,             0.10115,             0.20818,                   0,            0.019437,           0.0082645,           0.0024083,          0.00062705,            0.094782,             0.24702,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.097095,             0.21855,                   0,            0.023037,            0.066116,           0.0094564,           0.0019842,            0.087283,             0.26824,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.092281,             0.22322,                   0,            0.027284,             0.14876,            0.014108,           0.0027335,            0.085584,             0.26747,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.084198,             0.22876,                   0,            0.031421,              0.2314,            0.020506,           0.0040951,            0.083701,             0.28017,                   0,           0.0036129,           0.0036129,            0.062613
                   7,             0.08381,             0.21913,                   0,             0.02821,             0.24793,            0.018962,           0.0038722,            0.084956,             0.30896,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.082854,              0.2221,                   0,            0.084294,             0.20661,            0.054823,            0.011578,            0.076861,             0.35373,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.076236,             0.22304,                   0,            0.033822,             0.28926,            0.023301,           0.0048363,            0.079922,             0.41073,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.076447,             0.22002,                   0,            0.085904,             0.12397,            0.039744,           0.0089282,            0.079004,             0.33475,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.077336,             0.21604,                   0,            0.051144,             0.23967,            0.028426,           0.0066555,            0.094462,              0.2768,                   0,           0.0055536,           0.0055536,            0.034554
                  12,            0.087845,             0.18926,                   0,             0.10395,             0.20661,            0.060535,            0.011918,             0.10154,             0.22017,                   0,           0.0058705,           0.0058705,             0.02887
                  13,             0.10683,             0.14176,                   0,            0.017286,             0.17355,            0.010892,           0.0024371,             0.11307,              0.1525,                   0,           0.0061636,           0.0061636,            0.023164
                  14,             0.10928,             0.13833,                   0,             0.12879,             0.19835,             0.06139,           0.0077174,             0.10215,             0.17944,                   0,           0.0064329,           0.0064329,            0.017433
                  15,             0.10192,             0.15497,                   0,             0.15492,             0.21488,            0.065392,            0.011829,             0.10218,             0.20259,                   0,           0.0066785,           0.0066785,            0.011678
                  16,            0.099422,             0.16174,                   0,            0.019023,              0.2562,            0.011775,           0.0022899,              0.1119,             0.20878,                   0,            0.006832,            0.006832,            0.006832
                  17,             0.10106,             0.15223,                   0,             0.11824,             0.35537,            0.089688,            0.020153,             0.09656,             0.18788,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.096468,             0.16598,                   0,            0.060888,             0.18969,             0.03607,           0.0069886,            0.086584,             0.22688,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.084716,             0.19524,                   0,             0.12158,             0.45455,             0.10053,            0.019359,            0.085756,             0.27015,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.077409,             0.20364,                   0,             0.15738,             0.18182,             0.07578,            0.014748,            0.077937,             0.23862,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.077441,             0.20695,                   0,            0.080449,             0.13223,            0.033346,           0.0056175,            0.080071,             0.23437,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.070064,             0.21667,                   0,             0.11209,             0.28099,             0.08247,            0.011686,            0.071581,             0.26789,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.06974,             0.20667,                   0,            0.077476,              0.3719,            0.056456,           0.0096237,            0.073692,             0.24753,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.070667,             0.20734,                   0,             0.15667,             0.16529,            0.064194,            0.009889,            0.077352,              0.2539,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.069327,             0.20943,                   0,            0.058404,             0.55372,            0.044556,            0.010733,             0.07514,             0.24432,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.068601,             0.20716,                   0,             0.16004,             0.38843,             0.13275,            0.034137,            0.064359,             0.25996,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.066474,             0.20522,                   0,              0.1204,              0.2314,            0.074929,            0.015356,            0.071581,             0.25036,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.065518,             0.20981,                   0,             0.08139,             0.38017,            0.066407,             0.01368,            0.067595,             0.25741,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.064891,             0.21098,                   0,             0.15715,              0.2314,             0.07774,            0.013158,            0.070152,             0.25169,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.065851,             0.20314,                   0,            0.095175,             0.38017,            0.066739,            0.012644,            0.069369,             0.25102,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.065249,             0.20089,                   0,             0.19782,             0.19835,             0.09203,             0.01979,            0.069961,             0.25922,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.064006,             0.21075,                   0,             0.03959,             0.17355,             0.02484,           0.0038123,            0.082003,             0.24772,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.062247,             0.20611,                   0,             0.23041,              0.2314,             0.12241,            0.023529,            0.064785,             0.27481,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.062077,             0.20733,                   0,             0.10126,             0.12397,            0.050975,           0.0079329,            0.075239,             0.25038,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.061241,              0.2151,                   0,             0.15779,             0.23967,            0.097463,            0.018715,             0.06856,             0.25497,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.05946,             0.21143,                   0,             0.21746,             0.32842,             0.14123,            0.037945,            0.056959,             0.26799,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.064299,             0.20672,                   0,              0.1401,             0.19835,            0.071186,            0.011348,            0.072873,             0.24388,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.060075,             0.20794,                   0,             0.22825,             0.30554,             0.16887,             0.04309,            0.057345,             0.26544,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.058065,             0.21252,                   0,             0.24236,             0.20661,             0.12441,            0.033399,            0.061545,             0.26162,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.057598,             0.20471,                   0,             0.24484,             0.24793,             0.15519,            0.038883,            0.058886,             0.26613,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.057716,             0.20676,                   0,             0.21966,             0.21488,             0.11983,            0.028505,             0.06201,             0.26464,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.058059,             0.20799,                   0,             0.19803,             0.19835,             0.10739,            0.021171,            0.065966,             0.26184,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.059115,             0.20934,                   0,             0.19289,             0.17355,            0.099381,            0.022683,            0.065101,             0.26235,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.058871,             0.20887,                   0,              0.1071,             0.24793,            0.077957,            0.012618,            0.070123,             0.25871,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.060552,              0.2113,                   0,            0.083519,             0.38017,              0.0661,            0.010437,            0.071678,             0.25631,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.057279,             0.21204,                   0,             0.13863,             0.31405,             0.10108,            0.020567,            0.066131,             0.26225,                   0,             0.00109,             0.00109,             0.00109
