               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11917,             0.19357,                   0,           0.0018519,            0.041322,           0.0010114,          0.00025808,             0.12111,             0.17548,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.11374,             0.18834,                   0,            0.002963,            0.066116,           0.0016806,          0.00042137,             0.11662,             0.16959,                   0,            0.090089,           0.0010891,           0.0010891
                   2,             0.10662,             0.20187,                   0,               0.005,            0.049587,           0.0035399,           0.0005925,             0.10774,             0.19073,                   0,            0.084666,           0.0016663,           0.0016663
                   3,            0.099924,             0.21225,                   0,           0.0043333,             0.10744,           0.0024928,          0.00035397,            0.096383,             0.22311,                   0,            0.079232,           0.0022317,           0.0022317
                   4,            0.096035,              0.2159,                   0,               0.012,             0.29752,           0.0087094,           0.0016261,            0.090691,             0.23926,                   0,            0.073785,           0.0027852,           0.0027852
                   5,            0.092391,             0.21079,                   0,            0.064007,             0.19008,            0.052848,            0.010942,             0.08567,             0.25922,                   0,            0.068327,           0.0033267,           0.0033267
                   6,            0.086379,             0.21148,                   0,            0.089556,             0.16529,            0.052966,            0.012972,            0.081271,             0.29669,                   0,            0.062856,           0.0038565,           0.0038565
                   7,            0.086671,             0.20149,                   0,             0.10027,             0.28275,            0.091547,            0.021502,            0.081879,             0.42487,                   0,            0.057374,           0.0043743,           0.0043743
                   8,            0.085887,             0.19762,                   0,             0.11791,             0.38017,            0.096408,            0.024589,            0.081492,             0.35107,                   0,             0.05188,           0.0048802,           0.0048802
                   9,            0.087376,             0.17998,                   0,            0.040066,            0.057851,            0.019618,           0.0046432,            0.090856,             0.23676,                   0,            0.046374,           0.0053743,           0.0053743
                  10,            0.085721,             0.18488,                   0,             0.12162,              0.4394,             0.11531,            0.031261,            0.082789,             0.21713,                   0,            0.040857,           0.0058565,           0.0058565
                  11,            0.077479,             0.18995,                   0,            0.063143,             0.31405,            0.043018,           0.0089029,            0.092517,             0.32642,                   0,            0.035327,           0.0063268,           0.0063268
                  12,            0.086188,             0.18098,                   0,            0.039715,             0.61157,            0.034672,            0.010871,            0.085027,             0.20987,                   0,            0.029785,           0.0067852,           0.0067852
                  13,            0.083858,             0.17308,                   0,              0.1256,             0.29752,            0.079956,            0.019602,             0.09034,             0.19437,                   0,            0.024232,           0.0072318,           0.0072318
                  14,            0.089826,             0.16293,                   0,             0.16308,              0.2562,             0.11294,            0.028288,            0.088404,             0.20074,                   0,            0.018666,           0.0076665,           0.0076665
                  15,            0.089041,             0.16349,                   0,             0.13959,            0.066116,            0.034507,           0.0054996,            0.084616,             0.22095,                   0,            0.013089,           0.0080892,           0.0080892
                  16,             0.08731,             0.16999,                   0,            0.033836,             0.59504,            0.030486,           0.0074246,            0.084785,             0.19391,                   0,            0.008416,            0.008416,            0.008416
                  17,            0.084054,              0.1638,                   0,                0.11,             0.45455,            0.088347,            0.024822,            0.078066,             0.19278,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.084793,             0.17063,                   0,            0.031057,             0.43802,            0.025191,           0.0061794,            0.094883,             0.19287,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.088613,             0.15921,                   0,            0.032923,              0.3719,            0.025341,           0.0058782,            0.094343,             0.18723,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.083291,             0.17028,                   0,             0.23254,             0.45455,                0.19,            0.031487,             0.07813,             0.18738,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.079558,             0.16989,                   0,            0.091478,             0.41322,            0.077677,            0.017495,            0.077455,             0.20258,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.076879,             0.16758,                   0,              0.1342,             0.54545,             0.11561,            0.037861,            0.078419,             0.19427,                   0,            0.007921,            0.007921,            0.007921
