               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11954,             0.19283,                   0,           0.0016667,            0.041322,          0.00091259,          0.00028591,             0.12126,             0.17424,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.11358,             0.18911,                   0,               0.004,            0.099174,           0.0026704,          0.00073918,             0.11565,             0.17111,                   0,            0.090089,           0.0010891,           0.0010891
                   2,             0.10603,             0.20428,                   0,           0.0055556,            0.082645,           0.0032974,          0.00081198,             0.10567,             0.19382,                   0,            0.084666,           0.0016663,           0.0016663
                   3,            0.099275,             0.21194,                   0,               0.014,             0.34711,            0.012805,           0.0021805,             0.09325,             0.22461,                   0,            0.079232,           0.0022317,           0.0022317
                   4,            0.095479,             0.20911,                   0,            0.064902,             0.19835,            0.052179,            0.010258,            0.087509,              0.2334,                   0,            0.073785,           0.0027852,           0.0027852
                   5,            0.091908,             0.19853,                   0,             0.19523,              0.2314,             0.10839,            0.024726,            0.081878,             0.27429,                   0,            0.068327,           0.0033267,           0.0033267
                   6,            0.086068,             0.18989,                   0,             0.20664,              0.3724,             0.18316,            0.043951,            0.079934,             0.38348,                   0,            0.062856,           0.0038565,           0.0038565
                   7,            0.085605,             0.17836,                   0,             0.21501,             0.47934,             0.19438,            0.043026,            0.081507,             0.48926,                   0,            0.057374,           0.0043743,           0.0043743
                   8,            0.085161,             0.17186,                   0,             0.14817,             0.36364,             0.11916,            0.031588,            0.087475,             0.20743,                   0,             0.05188,           0.0048802,           0.0048802
                   9,            0.088182,             0.15314,                   0,              0.3361,             0.32231,             0.25547,            0.079479,            0.077508,             0.20505,                   0,            0.046374,           0.0053743,           0.0053743
                  10,            0.085152,             0.15757,                   0,             0.14221,             0.60331,             0.12574,            0.040204,            0.080865,             0.20938,                   0,            0.040857,           0.0058565,           0.0058565
                  11,            0.077668,             0.15581,                   0,             0.13434,             0.15647,            0.073079,             0.01347,             0.10775,             0.17621,                   0,            0.035327,           0.0063268,           0.0063268
                  12,            0.096272,             0.13589,                   0,             0.22926,             0.56051,             0.23616,            0.040215,            0.091466,             0.15607,                   0,            0.029785,           0.0067852,           0.0067852
                  13,            0.090637,             0.13751,                   0,            0.076279,             0.66942,            0.072565,            0.023784,            0.083523,             0.16431,                   0,            0.024232,           0.0072318,           0.0072318
                  14,            0.083504,             0.14913,                   0,             0.36205,             0.53719,             0.43888,             0.13537,            0.084428,              0.1665,                   0,            0.018666,           0.0076665,           0.0076665
                  15,            0.088866,             0.13476,                   0,             0.10008,             0.13223,            0.062577,            0.010461,             0.09537,              0.1395,                   0,            0.013089,           0.0080892,           0.0080892
                  16,            0.095061,              0.1277,                   0,            0.084243,              0.1157,            0.060561,           0.0089447,            0.095681,             0.13943,                   0,            0.008416,            0.008416,            0.008416
                  17,            0.093594,             0.12483,                   0,             0.06437,              0.6281,            0.070518,            0.015064,             0.09031,             0.14212,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.09266,             0.13095,                   0,             0.36885,             0.27273,             0.24646,            0.062302,            0.090267,             0.15332,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.082273,             0.13826,                   0,             0.47431,             0.61146,             0.49965,             0.11392,            0.074617,             0.16516,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.082811,             0.13815,                   0,            0.070998,             0.64463,            0.064964,            0.016173,            0.091918,              0.1655,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.084274,             0.13371,                   0,             0.43984,             0.60331,             0.49201,             0.14522,            0.071467,             0.15662,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.078862,              0.1398,                   0,             0.24808,             0.55372,             0.21073,            0.048089,            0.095751,             0.18961,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.081375,              0.1408,                   0,             0.34828,             0.54545,             0.33702,             0.10599,            0.071862,             0.15491,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.072974,              0.1449,                   0,             0.14702,             0.66116,             0.14317,            0.038399,             0.08124,             0.20645,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.077798,             0.13397,                   0,             0.24584,              0.6281,             0.24652,            0.067463,            0.071967,             0.15881,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.079992,             0.13382,                   0,             0.11936,             0.71074,             0.10668,            0.025635,            0.096186,             0.13348,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.081086,             0.12769,                   0,               0.477,             0.57025,             0.49457,             0.11621,            0.084286,             0.13589,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.07588,             0.13553,                   0,             0.18621,             0.47278,             0.18505,            0.049122,            0.074092,             0.16803,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.065515,             0.14591,                   0,              0.7405,             0.70248,             0.70579,             0.18708,            0.068192,             0.15619,                   0,            0.007228,            0.007228,            0.007228
                  30,             0.06578,             0.13916,                   0,             0.40688,             0.68595,             0.43392,            0.058944,            0.076118,             0.18573,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.069331,             0.13854,                   0,             0.31346,             0.61983,             0.26798,            0.082992,            0.067455,             0.16177,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.059501,             0.14623,                   0,               0.501,             0.66942,             0.59129,             0.17287,            0.062349,             0.17511,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.057815,             0.13964,                   0,             0.53791,             0.71901,             0.65248,             0.21352,            0.057767,             0.17291,                   0,            0.006832,            0.006832,            0.006832
                  34,              0.0587,             0.13892,                   0,             0.70903,             0.76033,             0.77697,             0.30534,            0.058532,             0.16183,                   0,            0.006733,            0.006733,            0.006733
                  35,             0.05787,               0.139,                   0,             0.33833,             0.65289,             0.32573,             0.11155,            0.057231,             0.17377,                   0,            0.006634,            0.006634,            0.006634
