               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11785,             0.19452,                   0,           0.0026661,            0.024793,          0.00056502,          5.6502e-05,             0.12426,             0.18537,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11398,             0.18415,                   0,           0.0026948,            0.024793,          0.00090541,          0.00014231,             0.11961,             0.17921,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10751,             0.19589,                   0,            0.017597,            0.016529,           0.0015797,          0.00021873,             0.10984,             0.20031,                   0,           0.0016327,           0.0016327,            0.084633
                   3,             0.10138,             0.21108,                   0,            0.017842,            0.033058,           0.0031747,          0.00045937,             0.09574,             0.24025,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.095958,             0.22344,                   0,            0.012392,              0.2562,           0.0074804,           0.0013222,            0.090308,             0.25267,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.090414,             0.22199,                   0,            0.036014,             0.28926,            0.022728,           0.0044953,            0.088426,             0.25961,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.086119,             0.21868,                   0,             0.05846,             0.12397,            0.030405,           0.0057059,            0.085003,             0.29628,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.082584,             0.21063,                   0,            0.093175,             0.16529,            0.033363,           0.0062446,             0.08387,             0.27908,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.081694,             0.21614,                   0,            0.054142,             0.28926,            0.031709,           0.0061137,            0.086027,             0.27325,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.084808,             0.19487,                   0,            0.024359,              0.3719,            0.017984,           0.0036894,            0.089882,             0.23721,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.079606,              0.2004,                   0,             0.10587,             0.29752,            0.062593,            0.014228,            0.077198,             0.27002,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.075223,             0.20673,                   0,            0.020142,             0.31405,             0.01346,           0.0023984,            0.092364,             0.47997,                   0,           0.0055536,           0.0055536,            0.034554
