               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11943,             0.19342,                   0,           0.0023333,            0.057851,           0.0013229,          0.00034963,             0.12137,             0.17494,                   0,              0.0955,              0.0005,              0.0005
                   1,             0.11365,             0.18843,                   0,           0.0044444,            0.066116,           0.0034158,          0.00065765,             0.11621,             0.17133,                   0,            0.090089,           0.0010891,           0.0010891
                   2,             0.10653,             0.20362,                   0,           0.0063333,             0.15702,           0.0037847,          0.00078241,             0.10793,             0.19049,                   0,            0.084666,           0.0016663,           0.0016663
                   3,             0.10004,             0.21203,                   0,           0.0086667,             0.21488,            0.006225,           0.0010058,            0.096433,             0.22424,                   0,            0.079232,           0.0022317,           0.0022317
                   4,            0.096072,             0.21512,                   0,               0.018,             0.44628,            0.017342,           0.0035414,            0.088733,             0.24567,                   0,            0.073785,           0.0027852,           0.0027852
                   5,            0.092599,             0.21254,                   0,            0.040059,             0.20661,            0.027526,           0.0075987,            0.086112,              0.2558,                   0,            0.068327,           0.0033267,           0.0033267
                   6,            0.087095,             0.21352,                   0,            0.089071,             0.14876,            0.063827,            0.015813,            0.083046,             0.31628,                   0,            0.062856,           0.0038565,           0.0038565
                   7,            0.086643,             0.20584,                   0,            0.091753,              0.2562,            0.070702,            0.015783,            0.079528,             0.47491,                   0,            0.057374,           0.0043743,           0.0043743
                   8,            0.086264,             0.20364,                   0,             0.11596,             0.32231,            0.088624,            0.023332,            0.084516,             0.37372,                   0,             0.05188,           0.0048802,           0.0048802
                   9,            0.086898,             0.18453,                   0,            0.080395,             0.20661,            0.044721,           0.0099493,            0.088995,             0.27921,                   0,            0.046374,           0.0053743,           0.0053743
                  10,            0.085662,              0.1894,                   0,             0.14921,             0.33884,             0.12302,            0.031536,            0.084435,             0.24435,                   0,            0.040857,           0.0058565,           0.0058565
                  11,            0.078607,             0.19352,                   0,               0.008,             0.19835,           0.0047964,           0.0014404,            0.097352,             0.32623,                   0,            0.035327,           0.0063268,           0.0063268
                  12,            0.086058,             0.18292,                   0,             0.26799,             0.30579,             0.21757,            0.056234,            0.081397,              0.2084,                   0,            0.029785,           0.0067852,           0.0067852
                  13,            0.085067,             0.17501,                   0,            0.030138,             0.56198,            0.025569,           0.0071594,             0.10171,             0.20877,                   0,            0.024232,           0.0072318,           0.0072318
                  14,            0.086776,             0.17666,                   0,             0.14875,             0.39669,             0.12824,            0.032728,             0.07851,             0.21094,                   0,            0.018666,           0.0076665,           0.0076665
                  15,            0.082598,             0.17566,                   0,            0.067877,             0.12397,             0.02944,           0.0048205,             0.10286,             0.16055,                   0,            0.013089,           0.0080892,           0.0080892
                  16,            0.092409,             0.15761,                   0,            0.052041,             0.55372,            0.046522,            0.012897,            0.079022,             0.20245,                   0,            0.008416,            0.008416,            0.008416
                  17,            0.083445,             0.17167,                   0,            0.060203,             0.38017,            0.038945,            0.012579,             0.08807,             0.18875,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.083361,             0.17681,                   0,             0.11164,             0.28926,            0.079232,            0.014443,            0.083897,             0.21173,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.076942,             0.17635,                   0,             0.15887,             0.47934,             0.12726,            0.039408,            0.073048,             0.20636,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.075159,             0.18301,                   0,             0.11653,             0.50413,            0.095231,            0.023739,            0.085947,             0.20834,                   0,            0.008119,            0.008119,            0.008119
                  21,             0.07521,             0.18297,                   0,            0.089015,              0.5124,            0.073279,            0.022811,            0.070678,             0.21249,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.071182,             0.18187,                   0,             0.55099,             0.41322,              0.3287,             0.10252,            0.091928,             0.17538,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.076291,             0.17597,                   0,            0.073604,             0.56198,            0.066779,            0.018436,            0.077821,             0.21539,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.078303,             0.17653,                   0,             0.16661,              0.3719,             0.11896,            0.030413,            0.075268,             0.21582,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.06933,             0.19273,                   0,             0.21225,             0.52893,             0.19353,             0.05093,            0.078483,             0.21521,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.066064,             0.19191,                   0,            0.092029,             0.34711,            0.070741,            0.022943,            0.071232,             0.20285,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.063172,             0.19099,                   0,             0.38592,             0.42975,             0.30036,            0.080133,            0.070132,             0.21735,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.066795,             0.19098,                   0,             0.11075,              0.4876,             0.08878,            0.023506,            0.081954,             0.18561,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.066085,             0.18979,                   0,             0.34006,             0.55372,             0.32603,            0.092832,            0.055797,             0.22052,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.064158,             0.18565,                   0,           0.0064429,             0.15702,           0.0037434,          0.00075204,            0.097659,             0.18414,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.067562,             0.18079,                   0,              0.4619,             0.45455,             0.36136,             0.10314,            0.056387,             0.22961,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.061739,             0.19053,                   0,            0.046178,             0.47107,            0.041513,           0.0082051,            0.083073,              0.2002,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.061912,             0.18645,                   0,             0.56579,             0.57025,             0.46762,             0.13165,             0.05227,             0.22354,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.061188,             0.18954,                   0,             0.40766,             0.32422,             0.22819,            0.050968,            0.068141,             0.22668,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.057226,               0.194,                   0,             0.37539,             0.50413,             0.30437,             0.09127,            0.055434,             0.23163,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.060924,             0.18458,                   0,             0.03252,             0.33058,            0.029464,           0.0059268,            0.086147,             0.19434,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.059752,             0.18467,                   0,             0.55272,             0.58214,             0.48661,             0.14545,            0.050962,             0.22797,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.058771,              0.1901,                   0,             0.21539,             0.19835,             0.10183,            0.018604,            0.077387,             0.20999,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.059419,             0.17992,                   0,             0.53997,             0.50413,             0.41535,              0.1418,             0.05112,             0.23376,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.058209,             0.18616,                   0,             0.05925,             0.52066,             0.06047,            0.014203,            0.078361,              0.2197,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.057107,             0.18512,                   0,             0.55204,              0.5124,             0.42933,             0.13687,            0.054065,             0.23215,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.056238,             0.18613,                   0,             0.46195,             0.44628,             0.32313,            0.092867,            0.062861,             0.21747,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.054629,             0.19033,                   0,             0.17074,             0.31405,             0.12363,            0.026647,            0.073624,             0.21924,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.055858,             0.18319,                   0,             0.54813,             0.46281,             0.37675,             0.12266,            0.054019,             0.22775,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.054809,             0.19031,                   0,             0.56164,             0.56198,              0.4563,             0.14579,             0.05121,             0.23074,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.050045,             0.19656,                   0,             0.51501,             0.56198,             0.43328,             0.14866,            0.051561,             0.22473,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.050844,             0.19481,                   0,             0.50673,              0.4876,              0.3998,              0.1322,            0.054376,             0.23221,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.055981,             0.19142,                   0,             0.30748,             0.31405,             0.22178,            0.040832,            0.067477,             0.21658,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.055076,             0.18799,                   0,              0.5407,             0.50592,             0.46056,             0.17071,            0.050271,             0.24457,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.056298,             0.17904,                   0,             0.28185,             0.23967,             0.18018,            0.039322,            0.072401,             0.22586,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.054978,             0.18573,                   0,             0.52287,              0.5124,             0.46003,             0.16747,            0.050716,             0.24451,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.051957,             0.18377,                   0,             0.47367,             0.48345,             0.37624,              0.1141,            0.056672,             0.23749,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.053721,             0.18811,                   0,             0.54982,              0.4876,             0.43938,             0.14947,            0.050888,              0.2449,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.052652,             0.18317,                   0,             0.50082,              0.5124,             0.42343,             0.13979,            0.053013,             0.23386,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.050885,             0.18657,                   0,             0.55997,             0.52893,             0.43559,             0.15542,            0.051576,             0.25055,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.054461,             0.18681,                   0,             0.41889,              0.4051,             0.33728,            0.098041,            0.060529,             0.23273,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.052798,             0.18516,                   0,             0.50345,             0.53719,             0.42129,             0.14876,            0.050492,             0.24585,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.051626,             0.18873,                   0,             0.50101,             0.46281,             0.37356,             0.11178,            0.060639,             0.23703,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.052413,             0.18336,                   0,             0.48478,             0.52878,             0.37753,             0.12083,            0.053158,             0.24103,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.051779,             0.18532,                   0,             0.46244,              0.4876,             0.34217,            0.093693,            0.064087,             0.23309,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.048641,              0.1895,                   0,             0.47956,             0.49587,             0.35586,             0.11804,            0.056646,             0.24249,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.051761,             0.18888,                   0,             0.52362,             0.49055,             0.38009,             0.11584,            0.059775,             0.24597,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.04785,             0.18761,                   0,             0.57602,             0.47107,             0.41818,             0.13715,            0.054118,             0.26495,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.049949,             0.18255,                   0,             0.50725,             0.40838,             0.36884,             0.11865,            0.057831,             0.28137,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.050027,             0.18351,                   0,             0.49959,             0.47107,             0.40994,             0.14092,            0.057669,             0.26776,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.049267,             0.18662,                   0,             0.54473,             0.43802,             0.38992,             0.11066,            0.060816,             0.27496,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.050362,             0.18078,                   0,             0.50436,             0.35537,             0.31571,             0.10944,            0.053278,             0.31848,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.047096,             0.18282,                   0,             0.55682,             0.49587,              0.4502,             0.15257,            0.051746,             0.27423,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.049334,             0.18465,                   0,             0.47671,             0.40496,              0.3218,             0.09897,            0.056686,             0.27069,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.048055,             0.18739,                   0,             0.54131,             0.49742,             0.41536,             0.14456,            0.051851,              0.2536,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.050362,              0.1835,                   0,             0.49068,             0.49587,             0.36627,             0.11894,            0.056879,             0.25812,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.049793,             0.18546,                   0,             0.47451,             0.53719,             0.40183,             0.15093,            0.050863,             0.25104,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.049158,             0.18645,                   0,             0.48018,             0.50387,             0.37613,             0.12067,            0.055433,             0.25281,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.050261,             0.17825,                   0,             0.48165,             0.54545,             0.39579,             0.14368,            0.050476,             0.25977,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.047214,             0.18118,                   0,             0.49101,             0.44646,             0.37886,              0.1304,            0.051528,             0.27728,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.047452,             0.18053,                   0,             0.47578,             0.49587,             0.38248,             0.14127,            0.051459,             0.26434,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.047597,             0.18107,                   0,             0.51935,             0.45544,             0.41485,             0.11937,            0.054449,             0.27283,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.047065,             0.18317,                   0,             0.51092,              0.4835,             0.40518,             0.14006,            0.054047,             0.25885,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.048631,              0.1793,                   0,             0.44092,             0.50188,              0.3831,              0.1165,            0.055733,             0.25977,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.047875,             0.18374,                   0,             0.45873,             0.52893,             0.39422,             0.13329,            0.055241,             0.25592,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.048962,             0.17784,                   0,             0.46741,             0.47934,              0.3705,               0.113,            0.057114,             0.24982,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.047097,             0.17696,                   0,             0.44749,             0.53719,             0.36775,             0.10103,            0.060977,              0.2478,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.047392,             0.18384,                   0,              0.4069,             0.45455,             0.33423,            0.082797,            0.063433,             0.24335,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.046493,             0.18378,                   0,             0.41859,             0.46281,             0.34407,             0.10381,             0.06017,             0.25671,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.047436,              0.1791,                   0,             0.43894,             0.50413,             0.37239,             0.10612,            0.059085,             0.26086,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.046052,             0.17911,                   0,             0.43418,             0.47934,             0.36292,             0.10914,            0.057355,             0.26355,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.045946,             0.17757,                   0,             0.44028,             0.47934,             0.36809,             0.11561,            0.055226,             0.27252,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.048745,             0.18198,                   0,              0.4352,             0.44628,             0.36537,             0.12263,            0.054769,             0.27051,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.047371,             0.17749,                   0,             0.42576,             0.43802,             0.34999,             0.11125,            0.055198,             0.27283,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.047103,             0.17965,                   0,             0.41465,             0.47107,             0.35534,             0.11243,            0.056271,             0.27155,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.047328,             0.17463,                   0,             0.43138,             0.43802,             0.36487,             0.11215,            0.057109,             0.26843,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.045682,             0.17921,                   0,             0.41678,             0.46658,             0.36336,               0.117,            0.055868,              0.2674,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.045977,              0.1776,                   0,             0.42973,             0.50413,              0.3698,             0.12287,            0.055359,             0.26855,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.046556,             0.17833,                   0,             0.45793,             0.49587,             0.38196,              0.1207,            0.055586,             0.26843,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.046509,             0.17537,                   0,             0.44906,             0.45455,             0.37454,             0.12084,             0.05615,             0.26794,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.046645,               0.181,                   0,             0.40118,             0.48724,             0.37788,             0.11719,            0.057169,             0.26624,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.047649,             0.17411,                   0,             0.44585,             0.44628,             0.37239,             0.11235,            0.058263,             0.26477,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.046752,             0.17702,                   0,             0.44553,             0.44494,             0.35948,             0.10619,            0.059162,             0.26324,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.045577,             0.17626,                   0,             0.42009,             0.46281,             0.35341,             0.10433,            0.060038,             0.26355,                   0,            0.000298,            0.000298,            0.000298
