               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11819,             0.17909,                   0,                   0,                   0,                   0,                   0,             0.12491,              0.1696,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11366,             0.16718,                   0,           0.0016839,            0.047619,          0.00087659,          0.00010457,             0.12022,             0.16026,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10685,              0.1762,                   0,           0.0032589,            0.047619,           0.0011339,          0.00024074,             0.10832,             0.18152,                   0,           0.0016327,           0.0016327,            0.084633
                   3,             0.10007,             0.18886,                   0,            0.054103,           0.0095238,           0.0035685,          0.00069549,            0.093818,              0.2136,                   0,           0.0021634,           0.0021634,            0.079163
                   4,             0.09482,             0.19667,                   0,             0.01436,             0.15238,           0.0088078,           0.0015555,            0.087786,             0.22289,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.089303,             0.19149,                   0,            0.047801,             0.18095,            0.026727,            0.004829,            0.085176,             0.22983,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.084841,             0.18245,                   0,             0.12577,             0.37143,             0.10926,            0.021037,            0.083254,             0.23137,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.082361,              0.1671,                   0,             0.27709,                 0.2,             0.14997,            0.036943,            0.080445,              0.2311,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.080296,             0.16622,                   0,            0.068704,             0.42857,            0.052752,           0.0096314,            0.087875,             0.21405,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.097743,              0.1294,                   0,            0.032763,             0.28228,            0.021975,           0.0037076,              0.1133,             0.12372,                   0,           0.0048486,           0.0048486,            0.045849
                  10,             0.10073,             0.12011,                   0,             0.12089,             0.52381,             0.11349,            0.023052,             0.09641,             0.13594,                   0,            0.005213,            0.005213,            0.040213
