               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11798,             0.12344,                   0,                   0,                   0,                   0,                   0,              0.1244,              0.1135,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11348,             0.10288,                   0,                   0,                   0,                   0,                   0,             0.11876,             0.09124,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10708,            0.093447,                   0,                   0,                   0,                   0,                   0,             0.10737,            0.085655,                   0,           0.0016327,           0.0016327,            0.084633
                   3,             0.10062,            0.092297,                   0,           0.0010399,             0.09375,          0.00055117,          7.2879e-05,            0.089287,            0.093797,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.095505,            0.092821,                   0,           0.0016667,             0.15625,          0.00098487,          0.00011578,            0.083946,            0.095862,                   0,           0.0026703,           0.0026703,             0.07367
                   5,             0.08816,            0.092807,                   0,           0.0018508,             0.03125,          0.00041943,          5.9573e-05,             0.08163,            0.096109,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.083018,            0.095459,                   0,           0.0021169,             0.15625,           0.0012834,          0.00026672,            0.078143,            0.098065,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.078973,            0.096181,                   0,           0.0023333,             0.21875,           0.0015038,          0.00035658,            0.080272,            0.094359,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.080393,            0.098161,                   0,           0.0062203,             0.09375,           0.0020312,          0.00046251,            0.076477,            0.098376,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.074842,            0.098415,                   0,            0.022007,              0.0625,           0.0038221,          0.00069532,             0.08095,            0.093505,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.075353,            0.097834,                   0,            0.033697,             0.03125,           0.0034703,          0.00050193,            0.088729,            0.089227,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.075031,            0.093063,                   0,             0.29295,              0.1875,             0.13066,            0.022816,            0.073934,             0.11138,                   0,           0.0055536,           0.0055536,            0.034554
                  12,            0.082766,            0.082048,                   0,                   0,                   0,                   0,                   0,             0.12695,            0.081588,                   0,           0.0058705,           0.0058705,             0.02887
                  13,            0.085958,            0.076681,                   0,            0.080518,             0.03125,            0.018708,           0.0040298,            0.076229,             0.11709,                   0,           0.0061636,           0.0061636,            0.023164
                  14,            0.089578,            0.075429,                   0,           0.0061285,               0.125,            0.002522,          0.00026977,            0.084717,            0.097457,                   0,           0.0064329,           0.0064329,            0.017433
                  15,            0.078644,            0.082115,                   0,             0.13296,              0.0625,            0.017667,           0.0043218,            0.084692,            0.099775,                   0,           0.0066785,           0.0066785,            0.011678
                  16,            0.075718,            0.081051,                   0,           0.0039005,             0.34375,           0.0025495,          0.00051032,            0.084198,             0.09265,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.081438,            0.075803,                   0,            0.028259,             0.28125,            0.019685,           0.0027467,            0.095003,            0.080914,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.083807,            0.072519,                   0,             0.11772,             0.21875,            0.074436,            0.014934,            0.070861,            0.086644,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.074729,            0.074405,                   0,            0.095489,               0.375,            0.072823,            0.017612,            0.079732,            0.079251,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.075636,            0.071765,                   0,             0.13072,             0.34375,              0.1009,            0.016992,            0.068957,             0.08336,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.076655,            0.074116,                   0,            0.036094,             0.28125,            0.023428,           0.0039397,             0.08103,            0.074448,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.074164,            0.069882,                   0,            0.035261,              0.6875,            0.030874,           0.0055248,            0.069643,            0.081451,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.07211,            0.074342,                   0,             0.17044,             0.15417,            0.067545,            0.016028,            0.065675,            0.083489,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.066092,            0.072703,                   0,             0.16008,             0.15625,            0.058329,            0.010085,            0.071523,            0.081117,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.064984,            0.075438,                   0,            0.042731,             0.46875,             0.03657,           0.0084895,            0.063236,            0.083983,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.064913,            0.074214,                   0,            0.081612,             0.34375,            0.063989,            0.012387,            0.060952,            0.081351,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.064335,            0.073253,                   0,             0.19861,             0.09375,            0.053707,              0.0111,            0.077485,            0.073711,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.064567,            0.071366,                   0,            0.088755,             0.59375,            0.079927,            0.018213,            0.058626,            0.079265,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.060249,            0.074327,                   0,             0.24376,             0.15625,            0.096648,            0.023575,            0.063225,            0.075956,                   0,            0.004456,            0.004456,            0.004456
                  30,              0.0563,            0.073157,                   0,             0.13036,             0.52933,             0.12293,            0.028692,            0.056636,            0.082527,                   0,            0.004258,            0.004258,            0.004258
                  31,             0.06123,            0.069303,                   0,            0.086173,             0.49803,            0.072167,            0.013342,            0.070786,            0.075813,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.060955,            0.070131,                   0,             0.10856,               0.625,             0.09979,            0.017769,            0.058378,            0.081265,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.057938,            0.072532,                   0,             0.16866,             0.40625,             0.11202,            0.033421,            0.054481,              0.0839,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.052486,            0.072808,                   0,             0.15487,              0.5625,             0.12599,            0.027934,             0.05243,            0.086268,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.049861,            0.075038,                   0,             0.19129,             0.59375,              0.1528,            0.042459,            0.051409,            0.084603,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.050551,            0.072054,                   0,             0.17228,             0.46875,             0.12939,            0.032626,            0.050773,            0.086724,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.052662,            0.072068,                   0,            0.085347,             0.65625,            0.086491,            0.018023,            0.056576,            0.083713,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.051697,            0.071643,                   0,             0.17994,             0.56227,             0.15274,            0.043271,            0.048667,            0.087638,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.047625,            0.072167,                   0,             0.14528,                 0.5,             0.13076,             0.03754,             0.05202,            0.092176,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.050174,            0.071709,                   0,             0.15822,              0.3125,             0.12535,             0.03362,            0.053991,            0.088741,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.049369,            0.072972,                   0,             0.15353,              0.1875,            0.085196,            0.015058,            0.061114,            0.083778,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.047369,            0.068313,                   0,             0.13672,             0.27721,             0.11439,            0.027829,            0.057012,            0.087147,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.049199,             0.07128,                   0,             0.16275,                0.25,              0.1187,            0.035953,            0.053418,            0.090043,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.047512,            0.072405,                   0,             0.15091,                0.25,             0.11894,            0.037253,            0.054513,            0.091087,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.046882,            0.075182,                   0,             0.16944,             0.28125,             0.12738,             0.03744,            0.054692,            0.090373,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.044851,            0.072013,                   0,              0.1694,             0.28125,              0.1341,            0.041933,            0.051124,             0.09177,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.044166,            0.070544,                   0,             0.13935,             0.59375,             0.13736,            0.043339,            0.049502,            0.091601,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.042432,            0.071178,                   0,             0.14892,               0.625,             0.14654,            0.045739,            0.050112,            0.090253,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.044256,            0.071503,                   0,             0.14978,               0.625,             0.14721,            0.047205,            0.051056,            0.089126,                   0,            0.000496,            0.000496,            0.000496
