               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1181,             0.19381,                   0,           0.0015953,           0.0082645,          0.00017447,          1.7447e-05,             0.12473,             0.18225,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11372,             0.18353,                   0,           0.0017658,            0.041322,          0.00087781,          0.00010471,             0.11988,             0.17609,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10688,             0.19688,                   0,            0.009574,           0.0082645,           0.0017009,          0.00031432,             0.10602,             0.20845,                   0,           0.0016327,           0.0016327,            0.084633
                   3,             0.10037,             0.21187,                   0,            0.013405,            0.099174,           0.0062324,           0.0012594,            0.094627,             0.23279,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.095408,             0.21638,                   0,            0.021585,             0.29752,             0.01483,           0.0024412,            0.089766,             0.24249,                   0,           0.0026703,           0.0026703,             0.07367
                   5,             0.08956,             0.20799,                   0,            0.053047,             0.33058,            0.044258,           0.0072035,            0.085746,             0.29132,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.084807,             0.19544,                   0,             0.21564,             0.28926,             0.15574,            0.026664,            0.082549,             0.41602,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.081898,             0.18011,                   0,               0.242,             0.20661,             0.12044,            0.025599,            0.079739,             0.32919,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.082169,             0.17739,                   0,             0.18495,             0.39669,             0.14757,            0.030925,              0.1013,             0.19703,                   0,           0.0044605,           0.0044605,             0.05146
                   9,             0.10555,             0.13322,                   0,            0.070882,             0.15702,            0.045106,           0.0093195,             0.10067,             0.18574,                   0,           0.0048486,           0.0048486,            0.045849
                  10,            0.096836,             0.16427,                   0,             0.45764,             0.35537,             0.33003,             0.08873,            0.082047,             0.23818,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.089598,             0.17929,                   0,            0.087352,             0.19008,            0.036887,           0.0060483,             0.11187,             0.42796,                   0,           0.0055536,           0.0055536,            0.034554
                  12,              0.1061,              0.1818,                   0,            0.091868,             0.16529,            0.044077,           0.0073924,             0.11128,             0.40036,                   0,           0.0058705,           0.0058705,             0.02887
                  13,             0.10565,             0.17948,                   0,            0.072955,             0.35537,            0.053627,           0.0086605,             0.11015,             0.35811,                   0,           0.0061636,           0.0061636,            0.023164
                  14,             0.10664,             0.18624,                   0,            0.083088,             0.42149,             0.06193,            0.010767,             0.10898,             0.32838,                   0,           0.0064329,           0.0064329,            0.017433
                  15,            0.099572,             0.20133,                   0,           0.0032557,            0.041322,            0.001108,          0.00012776,            0.094598,             0.30061,                   0,           0.0066785,           0.0066785,            0.011678
                  16,            0.087021,             0.24777,                   0,             0.02472,            0.090909,            0.008783,           0.0011374,            0.088727,             0.31416,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.082936,             0.24557,                   0,             0.43816,             0.18182,             0.16937,            0.033759,            0.088849,             0.24151,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.078591,             0.23017,                   0,            0.029549,             0.61157,            0.024045,           0.0057642,            0.083041,             0.32881,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.083687,             0.19848,                   0,            0.010246,             0.24793,           0.0063015,           0.0010148,             0.10224,              0.1992,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.086819,              0.1566,                   0,             0.11678,             0.57851,            0.093688,            0.018514,            0.090746,              0.3668,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.085602,             0.16225,                   0,           0.0013778,            0.033058,          0.00069025,          0.00010264,             0.10933,             0.55733,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.08536,              0.1514,                   0,             0.36386,             0.58678,             0.37455,             0.07674,            0.088331,             0.36652,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.077836,             0.16071,                   0,             0.17515,             0.52893,             0.16765,            0.044783,            0.089606,             0.76928,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.072042,             0.15927,                   0,             0.70352,             0.69421,             0.71284,              0.1758,            0.076664,             0.72488,                   0,            0.005446,            0.005446,            0.005446
                  25,              0.0754,             0.15157,                   0,             0.21371,             0.59504,             0.19168,            0.026036,            0.091208,             0.65187,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.074578,             0.15217,                   0,             0.42412,             0.58678,             0.45425,            0.061242,            0.075134,             0.29529,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.071697,             0.15302,                   0,             0.25795,             0.49587,             0.21115,             0.02835,            0.073931,             0.47478,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.069638,             0.15039,                   0,             0.65825,             0.66942,             0.67658,             0.17785,             0.07522,             0.28444,                   0,            0.004654,            0.004654,            0.004654
                  29,             0.06452,             0.15384,                   0,             0.45821,             0.50413,             0.50052,             0.10293,            0.064783,             0.27539,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.06296,             0.14785,                   0,             0.60073,             0.58678,             0.57709,             0.18187,            0.071026,             0.24871,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.058972,             0.14787,                   0,              0.5016,             0.57851,             0.52935,             0.10354,            0.054621,             0.28517,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.057402,             0.14699,                   0,             0.39531,             0.52066,             0.38682,             0.11303,            0.070924,             0.19165,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.057288,              0.1469,                   0,             0.51703,             0.73554,             0.52227,             0.12876,            0.054767,             0.22045,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.058836,             0.14315,                   0,                0.73,             0.32231,             0.48707,             0.14178,            0.066243,             0.22999,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.057666,             0.14624,                   0,             0.83092,             0.77167,             0.82285,             0.18397,            0.052742,             0.19262,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.053276,             0.14358,                   0,             0.63737,             0.68595,              0.7015,             0.22418,            0.052738,             0.19044,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.052435,             0.14646,                   0,             0.52348,             0.65289,             0.57496,             0.17069,            0.057692,             0.20543,                   0,            0.002872,            0.002872,            0.002872
