               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11816,             0.18499,                   0,                   0,                   0,                   0,                   0,             0.12448,             0.17135,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11374,             0.17379,                   0,             0.00171,           0.0095238,          0.00034671,          3.4671e-05,             0.11968,             0.16241,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10691,             0.18426,                   0,           0.0019841,            0.028571,          0.00071804,          0.00014389,             0.10734,             0.18436,                   0,           0.0016327,           0.0016327,            0.084633
                   3,             0.10037,             0.19935,                   0,            0.076425,           0.0095238,           0.0043082,          0.00094695,            0.093906,             0.21209,                   0,           0.0021634,           0.0021634,            0.079163
                   4,            0.094782,             0.20515,                   0,            0.019549,              0.1619,            0.010571,           0.0016667,            0.089299,             0.21865,                   0,           0.0026703,           0.0026703,             0.07367
                   5,             0.08954,             0.19751,                   0,            0.047239,             0.45714,            0.038489,           0.0060768,            0.086547,             0.24381,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.084805,             0.18766,                   0,             0.19039,             0.27619,             0.12892,            0.024458,            0.083669,             0.24379,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.081992,             0.17416,                   0,             0.26769,             0.27619,             0.18301,            0.039021,            0.078721,             0.28842,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.080198,             0.17348,                   0,            0.062749,             0.51429,            0.049924,           0.0088266,            0.093951,             0.26804,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.098725,             0.13188,                   0,            0.034982,             0.46667,            0.026889,           0.0061487,             0.11368,             0.12084,                   0,           0.0048486,           0.0048486,            0.045849
                  10,             0.10446,             0.11837,                   0,             0.36448,             0.28571,             0.20876,            0.059428,            0.099474,             0.13089,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.098412,             0.12823,                   0,                   0,                   0,                   0,                   0,             0.12782,             0.23188,                   0,           0.0055536,           0.0055536,            0.034554
                  12,             0.11898,             0.13228,                   0,                   0,                   0,                   0,                   0,             0.12783,             0.21287,                   0,           0.0058705,           0.0058705,             0.02887
                  13,               0.109,             0.16239,                   0,            0.060768,            0.066667,            0.021768,           0.0035846,            0.086373,             0.24474,                   0,           0.0061636,           0.0061636,            0.023164
                  14,            0.088065,             0.23213,                   0,              0.1147,                 0.4,            0.092193,            0.017096,            0.084933,             0.22885,                   0,           0.0064329,           0.0064329,            0.017433
                  15,             0.08164,             0.23092,                   0,             0.43464,             0.51429,             0.38461,             0.10954,            0.076036,             0.26294,                   0,           0.0066785,           0.0066785,            0.011678
                  16,            0.078344,             0.22046,                   0,                   0,                   0,                   0,                   0,             0.10497,               0.216,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.080653,             0.19526,                   0,             0.11997,             0.49524,             0.10012,            0.018128,             0.08118,             0.32174,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.08246,             0.17044,                   0,             0.13641,             0.10476,            0.028105,           0.0032637,            0.099744,             0.23117,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.084026,             0.15832,                   0,            0.036179,             0.46667,            0.028172,           0.0032241,            0.085152,             0.47942,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.076728,             0.15521,                   0,            0.079266,              0.4381,            0.060981,           0.0070104,            0.079232,             0.22012,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.077119,             0.16347,                   0,             0.21354,             0.40952,             0.16569,            0.031829,            0.080863,             0.34557,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.07624,             0.14206,                   0,              0.3122,             0.31429,              0.1919,            0.025633,            0.099563,             0.31108,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.082319,             0.14045,                   0,             0.35118,             0.72381,             0.36953,            0.079703,            0.074876,              0.2106,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.073662,             0.15074,                   0,             0.33779,             0.47619,              0.3705,              0.1077,             0.08473,             0.27619,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.076178,             0.14309,                   0,            0.069983,             0.69524,            0.065145,            0.012244,             0.08183,             0.18236,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.070372,             0.14554,                   0,             0.38238,             0.54247,             0.38471,             0.10046,            0.063004,             0.17476,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.066986,             0.14231,                   0,             0.30608,             0.53333,             0.30314,            0.086098,            0.085405,             0.20826,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.067607,             0.13701,                   0,             0.21567,             0.72381,             0.19688,            0.040605,            0.064007,             0.18598,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.062796,             0.14067,                   0,             0.48689,             0.54223,             0.49235,              0.1344,            0.063258,             0.17296,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.058827,                0.14,                   0,             0.43884,             0.45714,             0.41656,             0.10577,            0.060195,               0.176,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.058152,             0.13377,                   0,             0.52394,             0.53333,             0.50858,             0.16099,            0.058112,             0.16435,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.055277,             0.13668,                   0,             0.46744,             0.55172,             0.47016,            0.098021,            0.058888,             0.18139,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.055537,             0.14131,                   0,             0.71348,             0.69524,             0.63521,             0.21846,            0.055485,             0.16349,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.051891,              0.1408,                   0,             0.57646,             0.71293,             0.67347,             0.16191,            0.051178,             0.18307,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.049566,             0.14574,                   0,              0.6776,             0.66667,             0.61401,             0.19165,            0.050076,             0.16409,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.051983,             0.13759,                   0,             0.72122,             0.79048,             0.73469,             0.18718,            0.052769,              0.1706,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.057542,             0.13547,                   0,              0.3717,             0.73333,             0.41058,            0.082011,            0.055549,             0.15768,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.052147,             0.13451,                   0,             0.74073,             0.79048,             0.76777,             0.25986,            0.047725,             0.16322,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.046881,             0.13689,                   0,             0.76555,             0.80952,             0.74543,              0.3077,            0.042938,               0.162,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.045954,             0.13549,                   0,             0.79624,             0.81905,             0.78133,             0.32277,            0.042111,              0.1623,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.047257,             0.13893,                   0,             0.74478,             0.75238,             0.68184,             0.18857,            0.047967,              0.1609,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.047942,             0.13078,                   0,             0.81316,             0.78755,             0.75677,             0.28599,             0.04241,             0.16004,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.046924,             0.13592,                   0,             0.81331,             0.79048,             0.75912,             0.33024,            0.040161,             0.15918,                   0,            0.001684,            0.001684,            0.001684
                  44,             0.04525,             0.13715,                   0,             0.81272,             0.79048,              0.7535,             0.27771,            0.042902,             0.15756,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.043141,             0.14182,                   0,             0.79999,             0.79997,             0.75565,             0.25687,            0.044429,             0.15716,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.042759,             0.13644,                   0,             0.78375,             0.82838,             0.78252,             0.30584,            0.042156,             0.15818,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.041637,             0.13331,                   0,             0.79814,             0.82845,             0.77698,             0.31911,            0.041063,              0.1591,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.040553,             0.13344,                   0,             0.79809,              0.8282,             0.77218,              0.3074,            0.041198,             0.15933,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.042617,              0.1364,                   0,             0.78899,             0.81904,             0.75645,             0.27863,            0.042572,             0.15914,                   0,            0.000496,            0.000496,            0.000496
