               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11778,             0.17337,                   0,                   0,                   0,                   0,                   0,             0.12458,             0.15865,                   0,              0.0005,              0.0005,              0.0955
                   1,             0.11376,             0.15938,                   0,           0.0036154,            0.022222,          0.00076556,          7.6556e-05,             0.12007,             0.14611,                   0,           0.0010782,           0.0010782,            0.090078
                   2,             0.10649,             0.16722,                   0,           0.0018726,            0.055556,          0.00090137,          0.00023132,             0.10902,             0.15994,                   0,           0.0016327,           0.0016327,            0.084633
                   3,            0.099981,             0.18021,                   0,            0.077156,            0.011111,           0.0050788,           0.0015398,            0.093819,             0.18811,                   0,           0.0021634,           0.0021634,            0.079163
                   4,              0.0951,             0.18468,                   0,            0.019811,             0.14444,            0.010781,           0.0018796,            0.086468,             0.19947,                   0,           0.0026703,           0.0026703,             0.07367
                   5,            0.089633,              0.1806,                   0,            0.067203,             0.17778,            0.050611,           0.0080989,            0.083643,             0.20051,                   0,           0.0031535,           0.0031535,            0.068154
                   6,            0.085044,             0.17434,                   0,             0.20543,             0.15556,            0.094746,            0.021186,            0.082257,             0.20265,                   0,           0.0036129,           0.0036129,            0.062613
                   7,            0.082413,             0.16233,                   0,             0.16416,             0.25556,             0.11294,            0.030099,            0.078121,             0.23283,                   0,           0.0040486,           0.0040486,            0.057049
                   8,            0.081398,             0.15982,                   0,            0.024006,             0.64444,            0.020422,           0.0036373,            0.097417,             0.21369,                   0,           0.0044605,           0.0044605,             0.05146
                   9,            0.095976,             0.12764,                   0,             0.11627,             0.18714,            0.082973,            0.014061,            0.091646,              0.1418,                   0,           0.0048486,           0.0048486,            0.045849
                  10,             0.08768,             0.13473,                   0,             0.08222,             0.60918,             0.10673,            0.020977,            0.081233,             0.15813,                   0,            0.005213,            0.005213,            0.040213
                  11,            0.083685,             0.13758,                   0,             0.14015,             0.44444,             0.11286,            0.020478,             0.11972,              0.5142,                   0,           0.0055536,           0.0055536,            0.034554
                  12,             0.11249,             0.13744,                   0,             0.14634,             0.46667,             0.11664,            0.024083,             0.11976,             0.43488,                   0,           0.0058705,           0.0058705,             0.02887
                  13,             0.10544,             0.14915,                   0,           0.0081672,                 0.2,           0.0048095,          0.00088103,            0.092587,             0.18635,                   0,           0.0061636,           0.0061636,            0.023164
                  14,            0.092541,              0.1841,                   0,            0.061315,             0.18889,            0.033947,           0.0053761,            0.086224,              0.1914,                   0,           0.0064329,           0.0064329,            0.017433
                  15,            0.085552,             0.19022,                   0,             0.12001,             0.33333,            0.082127,            0.016304,            0.086167,             0.18708,                   0,           0.0066785,           0.0066785,            0.011678
                  16,            0.082916,             0.18853,                   0,              0.0456,             0.15556,            0.015442,           0.0023947,            0.083272,             0.21924,                   0,            0.006832,            0.006832,            0.006832
                  17,            0.086613,               0.177,                   0,            0.013556,             0.41111,            0.009564,           0.0023801,            0.085444,             0.17761,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.082089,             0.16709,                   0,             0.08818,             0.54444,            0.073959,            0.010302,            0.078889,             0.17468,                   0,            0.006634,            0.006634,            0.006634
